Indicator.Name,Indicator.Code
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS
"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Labor force, total",SL.TLF.TOTL.IN
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS
Land area (sq. km),AG.LND.TOTL.K2
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS
Land under cereal production (hectares),AG.LND.CREL.HA
Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),SG.LAW.EQRM.WK
Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),SG.LAW.NODC.HR
Law mandates paid or unpaid maternity leave (1=yes; 0=no),SG.LAW.LEVE.PU
Law prohibits or invalidates child or early marriage (1=yes; 0=no),SG.LAW.CHMR
"Lead time to export, median case (days)",LP.EXP.DURS.MD
"Lead time to import, median case (days)",LP.IMP.DURS.MD
Legislation exists on domestic violence (1=yes; 0=no),SG.LEG.DVAW
Lending interest rate (%),FR.INR.LEND
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ
"Listed domestic companies, total",CM.MKT.LDOM.NO
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ
Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS
Low-birthweight babies (% of births),SH.STA.BRTW.ZS
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS
"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS
Lower secondary school starting age (years),SE.SEC.AGES
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN
"Mammal species, threatened",EN.MAM.THRD.NO
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"Manufacturing, value added (constant 2010 US$)",NV.IND.MANF.KD
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
"Manufacturing, value added (current US$)",NV.IND.MANF.CD
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS
Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN
Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
Methane emissions (% change from 1990),EN.ATM.METH.ZG
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE
Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS
Military expenditure (current LCU),MS.MIL.XPND.CN
Military expenditure (current USD),MS.MIL.XPND.CD
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
Mobile cellular subscriptions,IT.CEL.SETS
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP
Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG
Net domestic credit (current LCU),FM.AST.DOMS.CN
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD
"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD
"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD
"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD
"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD
Net foreign assets (current LCU),FM.AST.NFRG.CN
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN
Net migration,SM.POP.NETM
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD
"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS
"Net ODA provided, total (constant 2015 US$)",DC.ODA.TOTL.KD
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS
Net official aid received (constant 2015 US$),DT.ODA.OATL.KD
Net official aid received (current US$),DT.ODA.OATL.CD
Net official development assistance and official aid received (constant 2015 US$),DT.ODA.ALLD.KD
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD
Net official development assistance received (constant 2015 US$),DT.ODA.ODAT.KD
Net official development assistance received (current US$),DT.ODA.ODAT.CD
"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD
"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD
"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD
Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD
"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD
"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD
"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD
"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
New businesses registered (number),IC.BUS.NREG
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS
Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE
Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE
Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),SG.NOD.CONS
Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),SG.JOB.NOPN.EQ
Number of deaths ages 5-14 years,SH.DTH.0514
Number of infant deaths,SH.DTH.IMRT
Number of maternal deaths,SH.MMR.DTHS
Number of neonatal deaths,SH.DTH.NMRT
Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO
Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5
Number of under-five deaths,SH.DTH.MORT
Number of visits or required meetings of affected firms with tax officials,IC.TAX.METG
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN
Other expense (% of expense),GC.XPN.OTHR.ZS
Other expense (current LCU),GC.XPN.OTHR.CN
Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS
Other taxes (current LCU),GC.TAX.OTHR.CN
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD
"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS
"Patent applications, nonresidents",IP.PAT.NRES
"Patent applications, residents",IP.PAT.RESD
People practicing open defecation (% of population),SH.STA.ODFC.ZS
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS
"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS
"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS
"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS
"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS
People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS
"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS
"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS
"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS
Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC
Permanent cropland (% of land area),AG.LND.CROP.ZS
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS
"Plant species (higher), threatened",EN.HPT.THRD.NO
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS
"PNG, bonds (AMT, current US$)",DT.AMT.PNGB.CD
"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD
"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD
"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD
"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD
"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD
"PNG, commercial banks and other creditors (AMT, current US$)",DT.AMT.PNGC.CD
"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD
"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD
"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD
"PNG, commercial banks and other creditors (NTR, current US$)",DT.NTR.PNGC.CD
"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD
Population ages 0-14 (% of total),SP.POP.0014.TO.ZS
"Population ages 0-14, female",SP.POP.0014.FE.IN
"Population ages 0-14, female (% of total)",SP.POP.0014.FE.ZS
"Population ages 0-14, male",SP.POP.0014.MA.IN
"Population ages 0-14, male (% of total)",SP.POP.0014.MA.ZS
"Population ages 0-14, total",SP.POP.0014.TO
"Population ages 0-4, female (% of female population)",SP.POP.0004.FE.5Y
"Population ages 0-4, male (% of male population)",SP.POP.0004.MA.5Y
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS
"Population ages 15-64, female",SP.POP.1564.FE.IN
"Population ages 15-64, female (% of total)",SP.POP.1564.FE.ZS
"Population ages 15-64, male",SP.POP.1564.MA.IN
"Population ages 15-64, male (% of total)",SP.POP.1564.MA.ZS
"Population ages 15-64, total",SP.POP.1564.TO
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y
